CookerStat, GenerateAssetRegistry=0.053879, Initialize=0.236906, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_423998BE499B5F01F2EF36901D6CBADF__1_0_13123_0, StartTime=2018.05.26-16.21.19, HierarchicalDDC=, DataSize=458, Duration=3.202058, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A450C4274B5637961340EBB97F1AF6D7__1_0_13123_0, StartTime=2018.05.26-16.21.19, HierarchicalDDC=, DataSize=347, Duration=2.555914, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FFA9EBAA47DD61CF2D21BEABB628ABC0__1_0_13123_0, StartTime=2018.05.26-16.21.19, HierarchicalDDC=, DataSize=347, Duration=2.457563, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_111A17EE4B2AC4CD9B56469B282E4FE7__1_0_13123_0, StartTime=2018.05.26-16.21.19, HierarchicalDDC=, DataSize=347, Duration=2.819333, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D9CD26C34BE03B2C3B1F44B00B6507FB__1_0_13123_0, StartTime=2018.05.26-16.21.19, HierarchicalDDC=, DataSize=347, Duration=3.444947, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FD4ED1254804341EBF641B9749F024AB__1_0_13123_0, StartTime=2018.05.26-16.21.19, HierarchicalDDC=, DataSize=409, Duration=40.824104, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C2A6D79C4759B63A853CE9BAD54D8A54__1_0_13123_0, StartTime=2018.05.26-16.21.21, HierarchicalDDC=, DataSize=458, Duration=3.788762, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_28B5F3574E4F9764A202B3BB9B9260FC__1_0_13123_0, StartTime=2018.05.26-16.21.21, HierarchicalDDC=, DataSize=347, Duration=2.788115, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_82AD9244480BF061B54F9698F1417BD6__1_0_13123_0, StartTime=2018.05.26-16.21.21, HierarchicalDDC=, DataSize=347, Duration=1.905926, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_72F35DA645C320C348EA97B73A2F1EF9__1_0_13123_0, StartTime=2018.05.26-16.21.21, HierarchicalDDC=, DataSize=347, Duration=13.550162, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7CBB6BA8438099CD7222F5A6BCCB853A__1_0_13123_0, StartTime=2018.05.26-16.21.21, HierarchicalDDC=, DataSize=347, Duration=3.357287, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7D27E33E48681D00D2504CBEB1C5EEE4__1_0_13123_0, StartTime=2018.05.26-16.21.21, HierarchicalDDC=, DataSize=409, Duration=2.332699, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_21A7D5504C7F62AEDE27118FE398169E__1_0_13123_0, StartTime=2018.05.26-16.21.22, HierarchicalDDC=, DataSize=458, Duration=3.406465, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CC9D6E4847D08D166746C6ADF547BB89__1_0_13123_0, StartTime=2018.05.26-16.21.22, HierarchicalDDC=, DataSize=347, Duration=3.294855, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8420DD8044E12DC557C0E28564D0DF07__1_0_13123_0, StartTime=2018.05.26-16.21.22, HierarchicalDDC=, DataSize=347, Duration=2.681639, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ECB03A1A4BABED30DF377BA23809B4B5__1_0_13123_0, StartTime=2018.05.26-16.21.22, HierarchicalDDC=, DataSize=347, Duration=2.830882, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2267BFEA4200D5C5634521B8CB63595C__1_0_13123_0, StartTime=2018.05.26-16.21.22, HierarchicalDDC=, DataSize=347, Duration=3.777213, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ED4595E2494D89100C007EA6A0C8E2A4__1_0_13123_0, StartTime=2018.05.26-16.21.22, HierarchicalDDC=, DataSize=409, Duration=2.661537, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
