CookerStat, GenerateAssetRegistry=76.266441, Initialize=180.192230, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F675507349CCEC7886ABC3909C49926D__1_0_13123_0, StartTime=2018.05.26-16.47.07, HierarchicalDDC=, DataSize=458, Duration=2.801385, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_29949A6646C29784ED23089FBC325DF9__1_0_13123_0, StartTime=2018.05.26-16.47.07, HierarchicalDDC=, DataSize=347, Duration=70.469955, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6C94A5B3469ECCAF6D11EE9A56A33A8D__1_0_13123_0, StartTime=2018.05.26-16.47.07, HierarchicalDDC=, DataSize=385, Duration=28.266579, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E94672BF47AEB1B6C7F93A8FFE24449D__1_0_13123_0, StartTime=2018.05.26-16.47.08, HierarchicalDDC=, DataSize=347, Duration=2.517868, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4F020CE042D46C0C329C85BCC1D40FB5__1_0_13123_0, StartTime=2018.05.26-16.47.08, HierarchicalDDC=, DataSize=347, Duration=2.655994, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_17FE910E44718D76BE3AB7967E011ED9__1_0_13123_0, StartTime=2018.05.26-16.47.08, HierarchicalDDC=, DataSize=347, Duration=2.860826, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_93617F904479D95A8BD6A9B8800A44A0__1_0_13123_0, StartTime=2018.05.26-16.47.08, HierarchicalDDC=, DataSize=458, Duration=29.156900, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B25D7929445D00CA8461D8A42EB926DD__1_0_13123_0, StartTime=2018.05.26-16.47.08, HierarchicalDDC=, DataSize=347, Duration=40.870461, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2F7DC633449AC75BCCED3E82749F0795__1_0_13123_0, StartTime=2018.05.26-16.47.08, HierarchicalDDC=, DataSize=385, Duration=12.658190, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_96071C6E4F2CF12CCBC69BA577B86148__1_0_13123_0, StartTime=2018.05.26-16.47.08, HierarchicalDDC=, DataSize=347, Duration=2.708588, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1486BC594726F42C5BFF289E71174787__1_0_13123_0, StartTime=2018.05.26-16.47.08, HierarchicalDDC=, DataSize=347, Duration=2.489645, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
