CookerStat, GenerateAssetRegistry=0.050031, Initialize=0.233054, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId7E8DFE1E46B7824C8A749285481D9981_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_B25010614A3060A6AF11AA990E3896CA_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2018.06.09-17.31.03, Duration=0.999361, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_B25010614A3060A6AF11AA990E3896CA_0__A7230B9B605621C3B93C24F1B0F24B4DF71A665C, StartTime=2018.06.09-17.31.03, HierarchicalDDC=, DataSize=16687, Duration=2.445590, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D7EF4C284EEEFEB10A876790AF685EDA__1_0_13123_0, StartTime=2018.06.09-17.31.11, HierarchicalDDC=, DataSize=458, Duration=32.333172, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_04458F764687C29DE5E1DCB3E702AEF7__1_0_13123_0, StartTime=2018.06.09-17.31.11, HierarchicalDDC=, DataSize=347, Duration=1.430836, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CF1F2D0F434A3FDAB9BFC9A952BB2795__1_0_13123_0, StartTime=2018.06.09-17.31.11, HierarchicalDDC=, DataSize=347, Duration=2.409242, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CA8B886A405D4505417056A086AB3925__1_0_13123_0, StartTime=2018.06.09-17.31.11, HierarchicalDDC=, DataSize=347, Duration=2.246745, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_44E1D8D14CB2E5C545B641B47436D8CF__1_0_13123_0, StartTime=2018.06.09-17.31.11, HierarchicalDDC=, DataSize=347, Duration=2.789397, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_59270E2B4567C998E6B86B8C20A4DAE1__1_0_13123_0, StartTime=2018.06.09-17.31.11, HierarchicalDDC=, DataSize=409, Duration=2.478089, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CC5925D1436B6182BECC6EB1E6531A07__1_0_13123_0, StartTime=2018.06.09-17.31.14, HierarchicalDDC=, DataSize=458, Duration=3.477879, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F24F54CA445B1ECED4BC1DBCE331F6D8__1_0_13123_0, StartTime=2018.06.09-17.31.14, HierarchicalDDC=, DataSize=347, Duration=2.403680, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AA1A68664205586982B70CBD68A520EC__1_0_13123_0, StartTime=2018.06.09-17.31.14, HierarchicalDDC=, DataSize=347, Duration=39.987667, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_23FAB46E4D51C7A406FAE2B319878864__1_0_13123_0, StartTime=2018.06.09-17.31.14, HierarchicalDDC=, DataSize=347, Duration=2.418220, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9C4B39214551F9C63051BF8C5C97EBDD__1_0_13123_0, StartTime=2018.06.09-17.31.14, HierarchicalDDC=, DataSize=347, Duration=3.503531, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_66A7A06846A1AB7CEA7A93B3C61CC5A2__1_0_13123_0, StartTime=2018.06.09-17.31.14, HierarchicalDDC=, DataSize=409, Duration=2.221085, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5EED10234DACE2887DE821B4A4E4747B__1_0_13123_0, StartTime=2018.06.09-17.39.51, HierarchicalDDC=, DataSize=347, Duration=33.127274, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E902FE914751A0312B39B792299252B5__1_0_13123_0, StartTime=2018.06.09-17.39.51, HierarchicalDDC=, DataSize=347, Duration=2.138980, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9D2D023543BE55FD08BD068CBC4BDACE__1_0_13123_0, StartTime=2018.06.09-17.39.51, HierarchicalDDC=, DataSize=347, Duration=2.019249, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EC737DEB4BE352A9DDB552803EC9C58B__1_0_13123_0, StartTime=2018.06.09-17.39.51, HierarchicalDDC=, DataSize=347, Duration=4.840292, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6F051A1945E874BBA579FDB8F5FE7DE1__1_0_13123_0, StartTime=2018.06.09-17.39.51, HierarchicalDDC=, DataSize=409, Duration=2.595685, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_803C3F6C491FF6514ACD35A4A1007DDE__1_0_13123_0, StartTime=2018.06.09-17.40.56, HierarchicalDDC=, DataSize=347, Duration=2.619203, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_326B78434E3DBF5C620370A69984980B__1_0_13123_0, StartTime=2018.06.09-17.40.56, HierarchicalDDC=, DataSize=347, Duration=2.265129, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6C61C9CF46FC64318D3645BC8625A441__1_0_13123_0, StartTime=2018.06.09-17.40.56, HierarchicalDDC=, DataSize=347, Duration=3.032718, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B4BE579C4EEFCB3A639BEB8B808EAE5F__1_0_13123_0, StartTime=2018.06.09-17.40.56, HierarchicalDDC=, DataSize=347, Duration=24.267733, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E6E4650043DA97560225ABBE4A94538F__1_0_13123_0, StartTime=2018.06.09-17.40.56, HierarchicalDDC=, DataSize=409, Duration=2.212532, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2DB5D71B416C798A06A96B971B18AB90__1_0_13123_0, StartTime=2018.06.09-17.40.58, HierarchicalDDC=, DataSize=347, Duration=1.550570, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2F306B9E42DAC28B1592AD9910F8CA8A__1_0_13123_0, StartTime=2018.06.09-17.40.58, HierarchicalDDC=, DataSize=347, Duration=2.091944, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_25, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D92F14A141B30CFF7049C7AF9EC9C0C9__1_0_13123_0, StartTime=2018.06.09-17.40.58, HierarchicalDDC=, DataSize=347, Duration=5.011339, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_26, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A5CA2D204430CD16074A33A517946D17__1_0_13123_0, StartTime=2018.06.09-17.40.58, HierarchicalDDC=, DataSize=347, Duration=2.313025, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_27, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F81FB8C8428741C990A853B11862A94D__1_0_13123_0, StartTime=2018.06.09-17.40.58, HierarchicalDDC=, DataSize=409, Duration=2.625618, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_28, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E23F4B2F47D0EE44951936AEC1F07CD6__1_0_13123_0, StartTime=2018.06.09-17.42.15, HierarchicalDDC=, DataSize=347, Duration=2.561048, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_29, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7DCC0DB64FA59787AD75F1AB1233B190__1_0_13123_0, StartTime=2018.06.09-17.42.15, HierarchicalDDC=, DataSize=347, Duration=26.158691, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_30, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1A691EF0495BF93CED7CF68B9249127B__1_0_13123_0, StartTime=2018.06.09-17.42.15, HierarchicalDDC=, DataSize=347, Duration=2.171051, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_31, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A61D912C4ECF0D84C612E7AC12EE1194__1_0_13123_0, StartTime=2018.06.09-17.42.15, HierarchicalDDC=, DataSize=347, Duration=1.320507, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
DDCTransactionId0F20C85447B893B9E7C54E911D8BB28C_32, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8CD963E34F54A31B5991E8AA0BCA8C3F__1_0_13123_0, StartTime=2018.06.09-17.42.15, HierarchicalDDC=, DataSize=409, Duration=2.057735, RunGuid=RunID6BD98B32479EC4ADF938DF955D77E090
